Nom,Type 1,Type 2,Points de Vie,Attaque,Dégâts d'Attaque
Bulbizarre,Plante,Poison,45,Fouet Lianes,60
Herbizarre,Plante,Poison,60,Tranch’Herbe,80
Florizarre,Plante,Poison,80,Lance-Soleil,100
Salamèche,Feu,,39,Flammèche,70
Reptincel,Feu,,58,Lance-Flammes,85
Dracaufeu,Feu,Vol,78,Déflagration,110
Carapuce,Eau,,44,Pistolet à O,65
Carabaffe,Eau,,59,Hydrocanon,80
Tortank,Eau,,79,Hydroblast,105
Chenipan,Insecte,,45,Charge,50
Chrysacier,Insecte,,50,Armure,30
Papilusion,Insecte,Vol,60,Poudre Dodo,70
Aspicot,Insecte,Poison,40,Dard-Venin,50
Coconfort,Insecte,Poison,45,Armure,40
Dardargnan,Insecte,Poison,65,Furie,120
Roucool,Normal,Vol,40,Tornade,60
Roucoups,Normal,Vol,63,Cru-Ailes,80
Roucarnage,Normal,Vol,83,Lame d’Air,100
Rattata,Normal,,30,Morsure,75
Rattatac,Normal,,55,Tranche,110
Piafabec,Normal,Vol,40,Picpic,60
Rapasdepic,Normal,Vol,65,Drill-Peck,100
Abo,Poison,,35,Morsure,60
Arbok,Poison,,60,Acide,85
Pikachu,Électrik,,35,Éclair,70
Raichu,Électrik,,60,Tonnerre,100
Sabelette,Sol,,50,Griffe,60
Sablaireau,Sol,,75,Jet de Sable,85
Nidoran♀,Poison,,55,Dard-Venin,60
Nidorina,Poison,,70,Morsure,80
Nidoqueen,Poison,Sol,90,Coup de Boule,110
Nidoran♂,Poison,,46,Dard-Venin,55
Nidorino,Poison,,61,Coup de Boule,75
Nidoking,Poison,Sol,81,Poing-Karate,105
Mélofée,Fée,,70,Métronome,60
Mélodelfe,Fée,,95,Vague Psy,80
Goupix,Feu,,38,Flammèche,55
Feunard,Feu,,73,Déflagration,100
Rondoudou,Normal,Fée,115,Berceuse,50
Grodoudou,Normal,Fée,140,Métronome,70
Nosferapti,Poison,Vol,40,Vampirisme,60
